嘿嘿	嘿嘿 😏
长条图	长条图 📊
直方图	直方图 📊
图表	图表 📈 📉
笔记本	笔记本 📓 📔
记事本	记事本 🗒️
日历	日历 📆 📅
废纸篓	废纸篓 🗑
垃圾桶	垃圾桶 🗑 🚮
卡片索引	卡片索引 📇
存档盒	存档盒 🗃
投票箱	投票箱 🗳
文件柜	文件柜 🗄
剪贴板	剪贴板 📋
粘贴版	粘贴版 📋
注意事项	注意事项 📋
文件夹	文件夹 📁 📂
资料夹	资料夹 📁
开启资料夹	开启资料夹 📂
分隔卡	分隔卡 🗂
报纸	报纸 🗞 📰
报刊	报刊 📰
新闻	新闻 📰
账簿	账簿 📒
笔记	笔记 📒
账本	账本 📒
记事簿	记事簿 📒
红色书本	红色书本 📕
绿色书本	绿色书本 📗
蓝色书本	蓝色书本 📘
橙色书本	橙色书本 📙
图书	图书 📚
书	书 📚
书本	书本 📖
书签	书签 🔖
别针	别针 🧷
链接	链接 🔗
连接	连接 🔗
铁索	铁索 🔗
环扣	环扣 🔗
回形针	回形针 📎 🖇
回纹针	回纹针 📎
三角尺	三角尺 📐
直尺	直尺 📏
尺子	尺子 📏
算盘	算盘 🧮
图钉	图钉 📌 📍
大图钉	大图钉 📍
大头钉	大头钉 📍
圆图钉	圆图钉 📍
剪刀	剪刀 ✂️ ✌️
圆珠笔	圆珠笔 🖊
钢笔	钢笔 🖋 ✒️
画笔	画笔 🖌
蜡笔	蜡笔 🖍
备忘录	备忘录 📝 📕
备忘	备忘 📝
笔录	笔录 📝
记事	记事 📝
记录	记录 📝
铅笔	铅笔 ✏️
搜索	搜索 🔍
搜寻	搜寻 🔍
查询	查询 🔍
放大镜	放大镜 🔍 🔎
详情	详情 🔎
详细	详细 🔎
情报	情报 🔎
锁	锁 🔒
锁定	锁定 🔒
上锁	上锁 🔒
加密	加密 🔐
安全	安全 🔐
隐私	隐私 🔏 ㊙️
隐秘	隐秘 🔏
开锁	开锁 🔓
解锁	解锁 🔓
红心	红心 ❤️
心	心 ❤️ 🖤 💕 💖
橙心	橙心 🧡
黄心	黄心 💛
绿心	绿心 💚
蓝心	蓝心 💙
紫心	紫心 💜
黑心	黑心 🖤
白心	白心 🤍
棕心	棕心 🤎
心碎	心碎 💔
失恋	失恋 💔
心叹号	心叹号 ❣️
两颗心	两颗心 💕
心心相印	心心相印 💕 💞
旋转心	旋转心 💞
旋转的心	旋转的心 💞
心跳	心跳 💓
跳动的心	跳动的心 💓
心动	心动 💓
成长心	成长心 💗
爱心	爱心 💗 ❤️
粉心	粉心 💗
激动	激动 💗
恋爱	恋爱 💗 💘
闪亮的心	闪亮的心 💖
一箭穿心	一箭穿心 💘
一见钟情	一见钟情 💘
丝带心	丝带心 💝
心型	心型 💟
和平	和平 ☮️
十字架	十字架 ✝️ ☦️
星月	星月 ☪️
奥姆	奥姆 🕉
法轮	法轮 ☸️
大卫之星	大卫之星 ✡️
六芒星	六芒星 🔯
六角星	六角星 🔯
烛台	烛台 🕎
犹太教	犹太教 🕎
阴阳	阴阳 ☯️
礼拜堂	礼拜堂 ⛪️ 🛐
蛇夫座	蛇夫座 ⛎
白羊座	白羊座 ♈️
金牛座	金牛座 ♉️
双子座	双子座 ♊️
巨蟹座	巨蟹座 ♋️
狮子座	双子座 ♌️
处女座	处女座 ♍️
天平座	天平座 ♎️
天蝎座	天蝎座 ♏️
射手座	射手座 ♐️
摩羯座	摩羯座 ♑️
水瓶座	水瓶座 ♒️
双鱼座	双鱼座 ♓️
帐号	帐号 🆔
账户	账户 🆔
身份	身份 🆔
原子	原子 ⚛️
可	可 🉑
放射	放射 ☢️
生物危害	生物危害 ☣️
关机	关机 📴
关机模式	关机模式 📴
手机关机	手机关机 📴
移动电话关机	移动电话关机 📴
震动	震动 📳
有	有 🈶
无	无 🈚️
申	申 🈸
营	营 🈺
营业	营业 🈺️
营业中	营业中 🈺️
月	月 🈷️
八角星	八角星 ✴️ ✳️
对比	对比 🆚
比	比 🆚
对决	对决 🆚
比赛	比赛 🆚
对抗	对抗 🆚
百花	百花 💮
得	得 🉐
获得	获得 🉐️
收益	收益 🉐️
特价	特价 🉐️
秘	秘 ㊙️
祝	祝 ㊗️
合	合 🈴
满	满 🈵
割	割 🈹
禁	禁 🈲
血液型号	血液型号	🅰️ 🅱️ 🅾️ 🆎
血型	血型 🅰️ 🅱️ 🅾️ 🆎
清理	清理 🆑
求救	求救 🆘
救命	救命 🆘
错	错 ❌
拒绝	拒绝 ❌
错误	错误 ❌ 🙅 ✖️
圆圈	圆圈 ⭕️
八边形	八边形 🛑
禁止	禁止 🈲️ ❌ ⛔️ 🚫
不得入内	不得入内 🚫
姓名牌	姓名牌 📛
百分百	百分百 💯
满分	满分 💯
百点	百点 💯
温泉	温泉 ♨️
禁止行人	禁止行人 🚷
勿仍垃圾	勿仍垃圾 🚯
请勿乱扔	请勿乱扔 🚯
禁丢垃圾	禁丢垃圾 🚯
禁止骑车	禁止骑车 🚳
非饮用水	非饮用水 🚱
十八禁	十八禁 🔞
未成年禁止	未成年禁止 🔞
少儿不宜	少儿不宜 🔞
禁止手机	禁止手机 📵
禁止吸烟	禁止吸烟 🚭
感叹号	感叹号 ❗️ ❕ ‼️
惊叹号	惊叹号 ❗️ ❕ ‼️
问号	问号 ❓ ❔ ⁉️
惊问	惊问 ⁉️
惊讶怀疑	惊讶怀疑 ⁉️
低亮度	低亮度 🔅
高亮度	高亮度 🔆
开始记号	开始记号 〽️
歌记号	歌记号 〽️
歌谣开始记号	歌谣开始记号 〽️
中日韩标点	中日韩标点 〽️
唱歌符号	唱歌符号 〽️
警告	警告 ⚠️
注	注 ⚠️
注意	注意 ⚠️
警示	警示 ⚠️
当心儿童	当心儿童 🚸
注意儿童	注意儿童 🚸
三叉戟	三叉戟 🔱
鸢尾	鸢尾 ⚜️
初学者	初学者 🔰
回收	回收 ♻️
环保	环保 ♻️
循环	循环 ♻️ 🔄 🔁 🔃
勾	勾 ✅
允许	允许 ✅
完成	完成 ✅
确定	确定 ✅
指	指 🈯️
外汇	外汇 🔣 💹
股市	股市 💹
条幅星	条幅星 ❇️
米字符号	米字符号 ❇️
叉	叉 ❎
不允许	不允许 ❎
未完成	未完成 ❎
子午线	子午线 🌐
睡了	睡了 💤
酣睡	酣睡 💤
沉睡	沉睡 💤
熟睡	熟睡 💤
困了	困了 💤
取款机	取款机 🏧
提款机	提款机 🏧
厕所	厕所 🚽 🚾
停车场	停车场 🅿️
电梯	电梯 🛗
空	空 🈳
服务	服务 🈂️
检查	检查 🛂
海关	海关 🛃
行李领取	行李领取 🛄
行李寄存	行李寄存 🛅
寄存	寄存 🛅
男士	男士 🚹
女士	女士 🚺
跨性别	跨性别 ⚧
卫生间	卫生间 🚻
洗手间	洗手间 🚻
化妆间	化妆间 🚻
化妆室	化妆室 🚻
电影院	电影院 🎦
看电影	看电影 🎦
影院	影院 🎦
放映室	放映室 🎦
信号	信号 📶
收讯	收讯 📶
这里	这里 🈁
汇率	汇率 🔣
信息源	信息源 ℹ️
资讯	资讯 ℹ️
字母	字母 🔤 🔡 🔠
英文大写	英文大写 🔠
大写字母	大写字母 🔠
英文小写	英文小写 🔡
小写字母	小写字母 🔡
不好	不好 👎 🆖
up	up 🆙
顶	顶 🆙
cool	cool 🆒
酷	酷 🆒
清凉	清凉 🆒
新	新 🆕
免费	免费 🆓
自由	自由 🆓
零	零 0️⃣
一	一 1️⃣
二	二 2️⃣
三	三 3️⃣
四	四 4️⃣
五	五 5️⃣
六	六 6️⃣
七	七 7️⃣
八	八 8️⃣
九	九 9️⃣
十	十 🔟
一二三四	一二三四 🔢
井号	井号 #️⃣
星号	星号 *️⃣
推出	推出 ⏏️
播放	播放 ▶️ ⏯
暂停	暂停 ⏸
停止	停止 ⏹ 🛑
录音	录音 ⏺
向前跳	向前跳 ⏭
向后跳	向后跳 ⏮
快进	快进 ⏩
倒回	倒回 ⏪
减速	减速 ⏪
向左符号	向左符号 ⏪
快退	快退 ⏪
三角上	三角上 ⏫
三角下	三角下 ⏬
左	左 ◀️ ⬅️ ↩️
回车	回车 ↩️
回车键	回车键 ↩️
上	上 🔼 ⬆️ ⤴️
下	下 🔽 ⬇️ ⤵️
右	右 ➡️ ↪️
右上	右上 ↗️
右下	右下 ↘️
左下	左下 ↙️
左上	左上 ↖️
上下	上下 ↕️
左右	左右 ↔️
随机	随机 🔀
重复	重复 🔁
单曲播放	单曲播放 🔁
单曲循环	单曲循环 🔂
播放一次	播放一次 🔂
逆时针	逆时针 🔄
顺时针	顺时针 🔃
音符	音符 🎵 🎶
加	加 ➕
加号	加号 ➕
减	减 ➖
除	除 ➗
乘	乘 ✖️
无穷大	无穷大 ♾
货币兑换	货币兑换 💱
商标	商标 ™️
版权	版权 ©️
注册	注册 ®️
证人	证人 👁‍🗨
结束	结束 🔚
末尾	末尾 🔚
返回	返回 🔙
开启	开启 🔛
启用	启用 🔛
置顶	置顶 🔝
上方	上方 🔝
soon	soon 🔜
波浪线	波浪线 〰️
卷曲环	卷曲环 ➰ ➿
对	对 ✔️ ☑️
单选	单选 🔘
红色	红色 🔴 🟥
橙色	橙色 🟠 🟧
黄色	黄色 🟡 🟨
绿色	绿色 🟢 🟩
蓝色	蓝色 🔵 🟦
紫色	紫色 🟣 🟪
黑色	黑色 ⚫️ ⬛️
白色	白色 ⚪️ ⬜️
棕色	棕色 🟤 🟫
小三角	小三角 🔺 🔻
小菱形	小菱形 🔸 🔹
菱形	菱形 🔶 🔷 💠
白中有黑	白中有黑 🔳
黑中有白	黑中有白 🔲
小方块	小方块 ▪️ ▫️
中方块	中方块 ◾️ ◽️
方块	方块 ◼️ ◻️ ♦️
扬声器	扬声器 🔈 🔉 🔊
静音	静音 🔇
铃铛	铃铛 🔔 🔕
响铃	响铃 🔔
喇叭	喇叭 🎺 📢 📣
传声筒	传声筒 📣
大喇叭	大喇叭 📣
传播	传播 📣
啦啦队	啦啦队 📣
广播	广播 📢 📻
对话	对话 💬 🗯
发言	发言 💬
发言中	发言中 💬
发言气球	发言气球 💬
白日梦	白日梦 💭
嗯	嗯 💭
想法	想法 💡 💭
想象中	想象中 💭
考虑	考虑 💭
喂	喂 🗯
黑桃	黑桃 ♠️
梅花	梅花 ♣️
草花	草花 ♣️
红桃	红桃 ♥️
小鬼	小鬼 🃏
扑克	扑克 🎴
扑克牌	扑克牌 🎴 🃏
纸牌	纸牌 🎴 🃏
红中	红中 🀄️
麻将	麻将 🀄️
一点	一点 🕐
两点	两点 🕑
三点	三点 🕒
四点	四点 🕓
五点	五点 🕔
六点	六点 🕕
七点	七点 🕖
八点	八点 🕗
九点	九点 🕘
十点	十点 🕙
十一点	十一点 🕚
十二点	十二点 🕛
零点	零点 🕛
一点半	一点半 🕜
两点半	两点半 🕝
三点半	三点半 🕞
四点半	四点半 🕟
五点半	五点半 🕠
六点半	六点半 🕡
七点半	七点半 🕢
八点半	八点半 🕣
九点半	九点半 🕤
十点半	十点半 🕥
十一点半	十一点半🕦
十二点半	十二点半 🕧
白旗	白旗 🏳️
黑旗	黑旗 🏴
海盗	海盗 🏴‍☠️
格子旗	格子旗 🏁
三角旗	三角旗 🚩
旗杆	旗杆 🚩
红旗	红旗 🚩
终点	终点 🏁 🚩
彩虹旗	彩虹旗 🏳️‍🌈
跨性别旗	跨性别旗 🏳️‍⚧️
联合国	联合国 🇺🇳
阿尔巴尼亚	阿尔巴尼亚 🇦🇱
阿尔及利亚	阿尔及利亚 🇩🇿
阿富汗	阿富汗 🇦🇫
阿根廷	阿根廷 🇦🇷
阿拉伯联合酋长国	阿拉伯联合酋长国 🇦🇪
阿鲁巴	阿鲁巴 🇦🇼
阿曼	阿曼 🇴🇲
阿塞拜疆	阿塞拜疆 🇦🇿
埃及	埃及 🇪🇬
埃塞俄比亚	埃塞俄比亚 🇪🇹
爱尔兰	爱尔兰 🇮🇪
爱沙尼亚	爱沙尼亚 🇪🇪
安道尔	安道尔 🇦🇩
安哥拉	安哥拉 🇦🇴
安圭拉	安圭拉 🇦🇮
安提瓜和巴布达	安提瓜和巴布达 🇦🇬
奥地利	奥地利 🇦🇹
奥兰群岛	奥兰群岛 🇦🇽
澳大利亚	澳大利亚 🇦🇺
袋鼠国	袋鼠国 🇦🇺
澳门	澳门 🇲🇴
巴巴多斯	巴巴多斯 🇧🇧
巴布亚新几内亚	巴布亚新几内亚 🇵🇬
巴哈马	巴哈马 🇧🇸
巴基斯坦	巴基斯坦 🇵🇰
巴拉圭	巴拉圭 🇵🇾
巴勒斯坦	巴勒斯坦 🇵🇸
巴林	巴林 🇧🇭
巴拿马	巴拿马 🇵🇦
巴西	巴西 🇧🇷
白俄罗斯	白俄罗斯 🇧🇾
百慕大	百慕大 🇧🇲
保加利亚	保加利亚 🇧🇬
北马里亚纳群岛	北马里亚纳群岛 🇲🇵
北马其顿	北马其顿 🇲🇰
贝宁	贝宁 🇧🇯
比利时	比利时 🇧🇪
秘鲁	秘鲁 🇵🇪
冰岛	冰岛 🇮🇸
波多黎各	波多黎各 🇵🇷
波兰	波兰 🇵🇱
波斯尼亚和黑塞哥维那	波斯尼亚和黑塞哥维那 🇧🇦
玻利维亚	玻利维亚 🇧🇴
伯利兹	伯利兹 🇧🇿
博茨瓦纳	博茨瓦纳 🇧🇼
不丹	不丹 🇧🇹
布基纳法索	布基纳法索 🇧🇫
布隆迪	布隆迪 🇧🇮
朝鲜	朝鲜 🇰🇵
北韩	北韩 🇰🇵
赤道几内亚	赤道几内亚 🇬🇶
丹麦	丹麦 🇩🇰
德国	德国 🇩🇪
东帝汶	东帝汶 🇹🇱
多哥	多哥 🇹🇬
多米尼加共和国	多米尼加共和国 🇩🇴
多米尼克	多米尼克 🇩🇲
俄罗斯	俄罗斯 🇷🇺
厄瓜多尔	厄瓜多尔 🇪🇨
厄立特里亚	厄立特里亚 🇪🇷
法国	法国 🇫🇷
法罗群岛	法罗群岛 🇫🇴
法属波利尼西亚	法属波利尼西亚 🇵🇫
法属圭亚那	法属圭亚那 🇬🇫
法属南部领地	法属南部领地 🇹🇫
梵蒂冈城国	梵蒂冈城国 🇻🇦
菲律宾	菲律宾 🇵🇭
斐济	斐济 🇫🇯
芬兰	芬兰 🇫🇮
佛得角	佛得角 🇨🇻
福克兰群岛	福克兰群岛 🇫🇰
冈比亚	冈比亚 🇬🇲
刚果共和国	刚果共和国 🇨🇬
刚果民主共和国	刚果民主共和国 🇨🇩
哥伦比亚	哥伦比亚 🇨🇴
哥斯达黎加	哥斯达黎加 🇨🇷
格林纳达	格林纳达 🇬🇩
格陵兰	格陵兰 🇬🇱
格鲁吉亚	格鲁吉亚 🇬🇪
格恩西岛	格恩西岛 🇬🇬
古巴	古巴 🇨🇺
瓜德罗普	瓜德罗普 🇬🇵
关岛	关岛 🇬🇺
圭亚那	圭亚那 🇬🇾
哈萨克斯坦	哈萨克斯坦 🇰🇿
海地	海地 🇭🇹
韩国	韩国 🇰🇷
南韩	南韩 🇰🇷
荷兰	荷兰 🇳🇱
风车之国	风车之国 🇳🇱
博奈尔	博奈尔 🇧🇶
荷属圣马丁	荷属圣马丁 🇸🇽
圣马丁岛	圣马丁岛 🇸🇽
黑山	黑山 🇲🇪
洪都拉斯	洪都拉斯 🇭🇳
基里巴斯	基里巴斯 🇰🇮
吉布提	吉布提 🇩🇯
吉尔吉斯斯坦	吉尔吉斯斯坦 🇰🇬
几内亚	几内亚 🇬🇳
几内亚比绍	几内亚比绍 🇬🇼
加拿大	加拿大 🇨🇦
加纳	加纳 🇬🇭
加那利群岛	加那利群岛 🇮🇨
加蓬	加蓬 🇬🇦
柬埔寨	柬埔寨 🇰🇭
捷克	捷克 🇨🇿
津巴布韦	津巴布韦 🇿🇼
喀麦隆	喀麦隆 🇨🇲
卡塔尔	卡塔尔 🇶🇦
开曼群岛	开曼群岛 🇰🇾
科科斯（基林）群岛	科科斯（基林）群岛 🇨🇨
科摩罗	科摩罗 🇰🇲
科索沃	科索沃 🇽🇰
科特迪瓦	科特迪瓦 🇨🇮
科威特	科威特 🇰🇼
克罗地亚	克罗地亚 🇭🇷
肯尼亚	肯尼亚 🇰🇪
肯亚	肯亚 🇰🇪
库克群岛	库克群岛 🇨🇰
库拉索	库拉索 🇨🇼
拉脱维亚	拉脱维亚 🇱🇻
莱索托	莱索托 🇱🇸
老挝	老挝 🇱🇦
黎巴嫩	黎巴嫩 🇱🇧
立陶宛	立陶宛 🇱🇹
利比里亚	利比里亚 🇱🇷
利比亚	利比亚 🇱🇾
列支敦士登	列支敦士登 🇱🇮
留尼汪	留尼汪 🇷🇪
卢森堡	卢森堡 🇱🇺
卢旺达	卢旺达 🇷🇼
罗马尼亚	罗马尼亚 🇷🇴
马达加斯加	马达加斯加 🇲🇬
马恩岛	马恩岛 🇮🇲
马尔代夫	马尔代夫 🇲🇻
马耳他	马耳他 🇲🇹
马拉维	马拉维 🇲🇼
马来西亚	马来西亚 🇲🇾
马里国	马里国 🇲🇱
马绍尔群岛	马绍尔群岛 🇲🇭
马提尼克	马提尼克 🇲🇶
马约特岛	马约特岛 🇾🇹
毛里求斯	毛里求斯 🇲🇺
毛里塔尼亚	毛里塔尼亚 🇲🇷
美国	美国 🇺🇸 🗽
美属萨摩亚	美属萨摩亚 🇦🇸
美属维尔京群岛	美属维尔京群岛 🇻🇮
蒙古国	蒙古国 🇲🇳
蒙特塞拉特	蒙特塞拉特 🇲🇸
孟加拉国	孟加拉国 🇧🇩
密克罗尼西亚	密克罗尼西亚 🇫🇲
缅甸	缅甸 🇲🇲
摩尔多瓦	摩尔多瓦 🇲🇩
摩洛哥	摩洛哥 🇲🇦
摩纳哥	摩纳哥 🇲🇨
莫桑比克	莫桑比克 🇲🇿
墨西哥	墨西哥 🇲🇽
纳米比亚	纳米比亚 🇳🇦
南非	南非 🇿🇦
南极洲	南极洲 🇦🇶
南乔治亚岛和南桑威奇群岛	南乔治亚岛和南桑威奇群岛 🇬🇸
南苏丹	南苏丹 🇸🇸
瑙鲁	瑙鲁 🇳🇷
尼加拉瓜	尼加拉瓜 🇳🇮
尼泊尔	尼泊尔 🇳🇵
尼日尔	尼日尔 🇳🇪
尼日利亚	尼日利亚 🇳🇬
纽埃	纽埃 🇳🇺
挪威	挪威 🇳🇴
万岛国	万岛国 🇳🇴
诺福克岛	诺福克岛 🇳🇫
欧盟	欧盟 🇪🇺
帕劳	帕劳 🇵🇼
皮特克恩	皮特克恩 🇵🇳
葡萄牙	葡萄牙 🇵🇹
日本	日本 🇯🇵
樱花之国	樱花之国 🇯🇵
日章旗	日章旗 🇯🇵
交叉放置的旗帜	交叉放置的旗帜 🎌
瑞典	瑞典 🇸🇪
瑞士	瑞士 🇨🇭
萨尔瓦多	萨尔瓦多 🇸🇻
萨尔瓦多共和国	萨尔瓦多共和国 🇸🇻
萨摩亚	萨摩亚 🇼🇸
塞尔维亚	塞尔维亚 🇷🇸
塞拉利昂	塞拉利昂 🇸🇱
塞内加尔	塞内加尔 🇸🇳
塞浦路斯	塞浦路斯 🇨🇾
塞舌尔	塞舌尔 🇸🇨 
沙特阿拉伯	沙特阿拉伯 🇸🇦
圣巴泰勒米岛	圣巴泰勒米岛 🇧🇱
圣诞岛	圣诞岛 🇨🇽
圣多美和普林西比	圣多美和普林西比 🇸🇹
圣赫勒拿	圣赫勒拿 🇸🇭
圣基茨和尼维斯	圣基茨和尼维斯 🇰🇳
圣卢西亚	圣卢西亚 🇱🇨
圣马力诺	圣马力诺 🇸🇲
圣皮埃尔和密克隆	圣皮埃尔和密克隆 🇵🇲
圣文森特和格林纳丁斯	圣文森特和格林纳丁斯 🇻🇨
斯里兰卡	斯里兰卡 🇱🇰
斯洛伐克	斯洛伐克 🇸🇰
斯洛文尼亚	斯洛文尼亚 🇸🇮
斯威士兰	斯威士兰 🇸🇿
苏丹	苏丹 🇸🇩
苏里南	苏里南 🇸🇷
所罗门群岛	所罗门群岛 🇸🇧
索马里	索马里 🇸🇴
塔吉克斯坦	塔吉克斯坦 🇹🇯
台湾	台湾 🇹🇼
泰国	泰国 🇹🇭
万佛之国	万佛之国 🇹🇭
坦桑尼亚	坦桑尼亚 🇹🇿
汤加	汤加 🇹🇴
特克斯和凯科斯群岛	特克斯和凯科斯群岛 🇹🇨
特立尼达和多巴哥	特立尼达和多巴哥 🇹🇹
突尼斯	突尼斯 🇹🇳
图瓦卢	图瓦卢 🇹🇻
土耳其	土耳其 🇹🇷
土库曼斯坦	土库曼斯坦 🇹🇲
托克劳	托克劳 🇹🇰
瓦利斯和富图纳群岛	瓦利斯和富图纳群岛 🇼🇫
瓦努阿图	瓦努阿图 🇻🇺
危地马拉	危地马拉 🇬🇹
委内瑞拉	委内瑞拉 🇻🇪
文莱	文莱 🇧🇳
乌干达	乌干达 🇺🇬
乌克兰	乌克兰 🇺🇦
乌拉圭	乌拉圭 🇺🇾
乌兹别克斯坦	乌兹别克斯坦 🇺🇿
西班牙	西班牙 🇪🇸
西撒哈拉	西撒哈拉 🇪🇭
希腊	希腊 🇬🇷
香港	香港 🇭🇰
新加坡	新加坡 🇸🇬
新喀里多尼亚	新喀里多尼亚 🇳🇨
新西兰	新西兰 🇳🇿
匈牙利	匈牙利 🇭🇺
叙利亚	叙利亚 🇸🇾
牙买加	牙买加 🇯🇲
亚美尼亚	亚美尼亚 🇦🇲
也门	也门 🇾🇪
伊拉克	伊拉克 🇮🇶
伊朗	伊朗 🇮🇷
以色列	以色列 🇮🇱
意大利	意大利 🇮🇹
印度	印度 🇮🇳
印尼	印尼 🇮🇩
英国	英国 🇬🇧
不列颠	不列颠 🇬🇧
大不列颠	大不列颠 🇬🇧
米字旗	米字旗 🇬🇧
英格兰	英格兰 🏴󠁧󠁢󠁥󠁮󠁧󠁿
苏格兰	苏格兰 🏴󠁧󠁢󠁳󠁣󠁴󠁿
威尔士	威尔士 🏴󠁧󠁢󠁷󠁬󠁳󠁿
英属维尔京群岛	英属维尔京群岛 🇻🇬
英属印度洋领地	英属印度洋领地 🇮🇴
约旦	约旦 🇯🇴
越南	越南 🇻🇳
赞比亚	赞比亚 🇿🇲
泽西岛	泽西岛 🇯🇪
乍得	乍得 🇹🇩
直布罗陀	直布罗陀 🇬🇮
智利	智利 🇨🇱
中非共和国	中非共和国 🇨🇫
中国	中国 🇨🇳
五星红旗	五星红旗 🇨🇳
