# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1946
#@/user_id	7ce4dbd7-6f89-4799-8667-6ada7e25db6d
hen zhong yao 	很重要	c=1 d=1 t=1145
hou 	後	c=4 d=0.394321 t=1946
hou lai 	後來	c=1 d=1 t=1856
hou mian 	後面	c=3 d=1.13415 t=1434
hou xu 	後續	c=1 d=0.164474 t=1946
hou xuan ci 	候選詞	c=9 d=1.51303 t=1946
hou xuan ci tiao 	候選詞條	c=1 d=1 t=961
hou xuan xiang 	候選項	c=1 d=0.031117 t=1946
hou zi 	猴子	c=1 d=0.0166557 t=1946
hu lv 	湖綠	c=0 d=0.1 t=1750
hua 	花	c=1 d=0.331211 t=1946
hua 	華	c=0 d=0.019593 t=1946
hua hao 	畫好	c=1 d=0.0202419 t=1946
hua mu lan 	花木蘭	c=1 d=1 t=1537
hua shu 	華數	c=1 d=1 t=870
hua shuo 	華碩	c=1 d=1 t=1164
hua xue 	化學	c=0 d=0.1 t=1590
hua xue ci hui 	化學詞彙	c=1 d=1 t=1591
huan 	換	c=2 d=0.516851 t=1946
hui 	會	c=3 d=0.756819 t=1946
hui fu 	回覆	c=1 d=1 t=1664
hui tie 	回帖	c=1 d=0.236928 t=1946
huo 	或	c=4 d=1.38941 t=1530
huo bi 	貨弊	c=1 d=1 t=1931
huo de 	獲得	c=1 d=0.155673 t=1946
huo dong 	活動	c=1 d=1 t=1873
huo qu 	獲取	c=0 d=0.0024972 t=1946
huo qu zai xian 	獲取在線	c=1 d=0.0250972 t=1946
huo zhe 	或者	c=3 d=0.211189 t=1946
ji 	及	c=0 d=0.1 t=1465
ji 	雞	c=1 d=1 t=1516
ji bian 	即便	c=1 d=1 t=1431
ji chang 	機場	c=1 d=1 t=1115
ji de 	記得	c=1 d=1 t=860
ji fu 	肌膚	c=0 d=0.1 t=1465
ji ji 	積極	c=0 d=0.1 t=1465
ji ji fu ji ji 	及肌膚積極	c=1 d=1 t=1466
ji ji fu ji ji 	唧唧復唧唧	c=1 d=1 t=1749
ji ke 	即可	c=3 d=2.30966 t=1242
ji qi 	機器	c=1 d=0.726149 t=1946
ji shu zhi dao 	技術指導	c=2 d=1.71892 t=1312
ji tian qian 	幾天前	c=1 d=0.0459593 t=1946
ji zhu 	記住	c=1 d=1 t=1732
jia 	家	c=1 d=0.941765 t=1946
jia li 	家裏	c=1 d=1 t=863
jia ru 	加入	c=2 d=0.360595 t=1946
jia xian 	郟縣	c=1 d=1 t=1497
jian 	鍵	c=5 d=0.249649 t=1946
jian ding 	鑑定	c=0 d=0.1 t=1495
jian ding wan bi 	鑑定完畢	c=1 d=1 t=1496
jian jie 	簡介	c=3 d=2.95072 t=1697
jian jun jie 	建軍節	c=1 d=1 t=1695
jian kong 	監控	c=1 d=0.0520787 t=1946
jian pan shang 	鍵盤上	c=1 d=1 t=999
jian qun 	建群	c=1 d=0.0488012 t=1946
jian shi qi 	監視器	c=1 d=1 t=1874
jian shu 	簡書	c=1 d=0.0972957 t=1946
jiang 	將	c=4 d=0.132283 t=1946
jiang cai 	醬菜	c=0 d=0.1 t=1560
jiao 	叫	c=1 d=0.433874 t=1946
jiao zao 	較早	c=1 d=1 t=1895
jie chu 	接觸	c=0 d=0.1 t=1862
jie chu guo 	接觸過	c=1 d=1 t=1863
jie da 	解答	c=2 d=1.50662 t=1132
jie jue 	解決	c=3 d=0.51339 t=1946
jie shao 	介紹	c=1 d=0.0792617 t=1946
jie tuo 	解脫	c=0 d=0.1 t=1517
jin gong 	僅供	c=1 d=1 t=1521
jin qu 	進去	c=1 d=0.0753961 t=1946
jin song 	勁松	c=0 d=0.1 t=1561
jin tian 	今天	c=3 d=0.952702 t=1946
jin xing 	進行	c=2 d=0.192752 t=1946
jin yong 	禁用	c=3 d=1.08075 t=1740
jin zhi 	進制	c=1 d=0.0350844 t=1946
jiu 	就	c=3 d=1.22361 t=1946
jiu hao 	就好	c=1 d=1 t=1688
jiu hui 	就會	c=1 d=0.17552 t=1946
jiu shi 	就是	c=13 d=0.555345 t=1946
jiu xiang ge 	就像個	c=1 d=1 t=1534
ju li 	舉例	c=2 d=1.99501 t=1021
jue bu hui 	絕不會	c=1 d=0.499074 t=1946
jue da bu fen 	絕大部分	c=1 d=0.722527 t=1946
jue dui 	絕對	c=0 d=0.0737123 t=1946
ka chua 	卡欻	c=2 d=0.0281741 t=1946
ka dun 	卡顿	c=1 d=1 t=1892
kai 	塏	c=1 d=1 t=1686
kai tou 	開頭	c=6 d=0.10567 t=1946
kai xin 	開心	c=9 d=1.55265 t=1946
kai xin ne 	開心呢	c=1 d=1 t=1739
kai yuan 	開源	c=2 d=0.146595 t=1946
kan 	看	c=3 d=0.751966 t=1946
kan dao 	看到	c=4 d=0.499217 t=1946
kan kan 	看看	c=3 d=1.07939 t=1946
kan le 	看了	c=1 d=1 t=1871
kao qian 	靠前	c=0 d=0.1 t=982
kao xin 	靠新	c=1 d=1 t=1625
ke fu 	客服	c=2 d=0.70822 t=1946
ke neng 	可能	c=1 d=0.172594 t=1946
ke yi 	可以	c=18 d=4.38041 t=1946
ken ne ge 	肯呢個	c=1 d=1 t=1899
kong ge 	空格	c=2 d=0.351772 t=1946
kong ge jian 	空格鍵	c=1 d=0.13332 t=1946
kong zhi 	控制	c=1 d=1 t=1153
kuai 	快	c=2 d=1.02317 t=1841
kuai jie jian 	快捷鍵	c=4 d=1.70747 t=1702
kuang jia 	框架	c=2 d=1.72066 t=1946
la ji 	辣雞	c=1 d=1 t=1515
lai hui 	來回	c=0 d=0.0290835 t=1946
lai hui qie huan 	來回切換	c=1 d=0.292293 t=1946
lai zi 	來自	c=1 d=0.224249 t=1946
lan se 	藍色	c=2 d=0.0639849 t=1946
lan xi gu 	蘭溪谷	c=0 d=0.1 t=1752
lao 	老	c=0 d=0.1 t=1560
lao yi pin jiang cai 	老一品醬菜	c=1 d=1 t=1561
le 	了	c=27 d=6.3449 t=1946
lei 	畾	c=2 d=1.89583 t=1794
lei luo 	雷羅	c=1 d=1 t=1168
leng men 	冷門	c=1 d=1 t=1555
li 	李	c=1 d=0.550288 t=1946
li 	裏	c=7 d=1.33427 t=1946
li jie 	理解	c=0 d=0.1 t=934
li jie cuo wu 	理解錯誤	c=1 d=1 t=935
li mian 	裏面	c=2 d=1.08925 t=1946
li shi chao xian 	李屍朝鮮	c=3 d=0.0503149 t=1946
li xian 	離線	c=0 d=0.1 t=1198
li xian an zhuang 	離線安裝	c=1 d=1 t=1199
lian jie 	鏈接	c=1 d=1 t=1202
liang 	兩	c=0 d=0.1 t=1648
liang ge 	兩個	c=3 d=0.626705 t=1946
liang nian qian 	兩年前	c=1 d=1 t=1788
liang xiao shi 	兩小時	c=1 d=0.33454 t=1946
liang zhe 	兩者	c=1 d=0.290835 t=1946
liao jie 	瞭解	c=1 d=0.0500366 t=1946
ling hun 	靈魂	c=1 d=1 t=1382
liu 	六	c=1 d=1 t=971
liu 	劉	c=0 d=0.00157644 t=1946
liu chang du 	流暢度	c=1 d=0.357007 t=1946
liu dao zhen 	劉道真	c=2 d=0.131404 t=1946
liu hua 	劉華	c=0 d=0.00156076 t=1946
liu hua qing 	劉華清	c=7 d=0.244716 t=1946
liu liang 	流量	c=1 d=1 t=1276
lou zhu 	樓主	c=1 d=0.290006 t=1946
lou zhu niu pi 	樓主牛皮	c=1 d=0.26982 t=1946
lu e 	蓼莪	c=2 d=1.97531 t=1652
lu jing 	陸敬	c=0 d=0.0393828 t=1946
lu jing hua 	陸敬華	c=3 d=0.39481 t=1946
lu jing xi 	陸敬喜	c=2 d=0.398778 t=1946
lu wang ling 	潞王陵	c=1 d=1 t=1559
lu xian 	路線	c=6 d=4.21399 t=1316
lu you qi 	路由器	c=1 d=1 t=1846
luan ma 	亂碼	c=1 d=0.0555762 t=1946
luo 	羅	c=1 d=1 t=1184
luo yong 	羅勇	c=0 d=0.0532592 t=1946
luo yong hao 	羅勇浩	c=1 d=0.535261 t=1946
lv se 	綠色	c=1 d=0.0285814 t=1946
ma 	嗎	c=14 d=3.03041 t=1946
mai 	買	c=1 d=1 t=1112
mai ge 	買個	c=1 d=0.995012 t=1946
man man 	慢慢	c=1 d=0.138761 t=1946
man zu 	滿足	c=1 d=0.423162 t=1946
mei ba 	沒把	c=1 d=0.017163 t=1946
mei guo 	美國	c=1 d=0.22091 t=1946
mei jia wu 	梅家塢	c=1 d=1 t=1558
mei li 	美麗	c=2 d=1.39852 t=1541
mei lin 	梅林	c=1 d=1 t=1331
mei sen 	梅森	c=4 d=2.52957 t=1548
mei shi 	沒事	c=1 d=1 t=1146
mei shou dao 	没收到	c=1 d=1 t=1881
mei you 	沒有	c=10 d=0.497227 t=1946
mei yue 	每月	c=1 d=1 t=1273
mei zhou dong po jiu lou 	眉州東坡酒樓	c=0 d=0.1 t=1561
mei zhou dong po jiu lou jin song 	眉州東坡酒樓勁松	c=1 d=1 t=1562
mi ma 	密碼	c=0 d=0.1 t=1325
mi ma wang ji 	密碼忘記	c=1 d=1 t=1326
miao 	淼	c=1 d=1 t=1712
miao tian miao di 	秒天秒地	c=2 d=0.714023 t=1946
min gan 	敏感	c=2 d=0.0510474 t=1946
ming 	名	c=0 d=0.1 t=1581
ming bai 	明白	c=2 d=1.99005 t=918
ming ju 	名句	c=1 d=1 t=1590
ming zi 	名字	c=1 d=1 t=1136
mo 	尛	c=1 d=1 t=1773
mo ren 	默認	c=5 d=0.852605 t=1946
mou yi 	某一	c=0 d=0.0105399 t=1946
mou yi xiang 	某一項	c=1 d=0.105928 t=1946
mu lan dang hu zhi 	木蘭當戶織	c=1 d=1 t=1467
mu qian 	目前	c=1 d=1 t=1574
na 	那	c=1 d=0.956212 t=1946
na guo 	哪國	c=1 d=0.232236 t=1946
na jue dui zhi chi 	那絕對支持	c=1 d=0.740818 t=1946
nan du da 	難度大	c=1 d=0.19205 t=1946
ne 	呢	c=2 d=0.0261214 t=1946
ne ge 	呢個	c=0 d=0.0818731 t=1946
nei 	內	c=1 d=0.0689068 t=1946
nei cun 	內存	c=1 d=1 t=1876
neng 	能	c=0 d=0.1 t=1297
neng da kai 	能打開	c=1 d=0.621885 t=1946
neng li 	能力	c=0 d=0.0064894 t=1946
neng xu qiu 	能需求	c=1 d=1 t=1298
ni 	你	c=26 d=3.38591 t=1946
ni de 	你的	c=1 d=0.216536 t=1946
ni hao 	你好	c=1 d=1 t=1052
ni ji 	匿跡	c=0 d=0.00142642 t=1946
ni ji su hua 	匿跡俗話	c=1 d=0.0143357 t=1946
ni ji su hua ma cong shi 	匿跡俗話嗎從事	c=1 d=1 t=1465
ni jiu shi 	你就是	c=10 d=0.783153 t=1946
ni jiu shi wo 	你就是我	c=1 d=1 t=1050
nian 	年	c=2 d=0.648605 t=1946
nin hao 	您好	c=1 d=0.847894 t=1946
niu 	牛	c=4 d=0.448549 t=1946
